Part of Speech,values,percent
determiner,3499.0,0.14486813232310686
"adjective (English), other noun-modifier (Chinese)",1258.0,0.052084627168467686
"noun, singular or mass",4590.0,0.1900385045335983
"verb, 3rd person singular present",830.0,0.03436426116838488
"conjunction, subordinating or preposition",3449.0,0.14279799610814392
"noun, plural",1607.0,0.06653417794890903
"verb, gerund or present participle",485.0,0.020080321285140562
"conjunction, coordinating",1187.0,0.0491450337432203
"verb, past participle",435.0,0.01801018507017762
"noun, proper singular",1295.0,0.05361652796754027
"pronoun, possessive",663.0,0.027450006210408644
adverb,366.0,0.015153397093528755
"adverb, particle",127.0,0.005258145986005879
"infinitival ""to""",296.0,0.012255206392580632
"verb, base form",937.0,0.03879435266840558
"pronoun, personal",1039.0,0.04301743054692999
"verb, non-3rd person singular present",705.0,0.029188920630977517
"verb, modal auxiliary",232.0,0.009605432037428063
"wh-pronoun, personal",49.0,0.0020287334906636855
"verb, past tense",76.0,0.003146607046743676
predeterminer,6.0,0.0002484163457955533
"adverb, comparative",43.0,0.0017803171448681323
wh-determiner,416.0,0.0172235333084917
"adjective, comparative",27.0,0.0011178735560799901
existential there,10.0,0.0004140272429925889
possessive ending,383.0,0.015857243406616154
wh-adverb,102.0,0.004223077878524407
cardinal number,6.0,0.0002484163457955533
interjection,1.0,4.140272429925889e-05
"noun, proper plural",29.0,0.0012006790046785079
"adverb, superlative",1.0,4.140272429925889e-05
"adjective, superlative",4.0,0.00016561089719703556
total,24153.0,
